Time,RRC Connection Request Count (RCRC),Cumulative RCRC
2025-04-30 18:16:33.988000,12,12
2025-04-30 18:16:34.088000,0,12
2025-04-30 18:16:34.188000,0,12
2025-04-30 18:16:34.288000,0,12
2025-04-30 18:16:34.388000,0,12
2025-04-30 18:16:34.488000,10,22
2025-04-30 18:16:34.588000,0,22
2025-04-30 18:16:34.688000,0,22
2025-04-30 18:16:34.788000,0,22
2025-04-30 18:16:34.888000,0,22
2025-04-30 18:16:34.988000,4,26
2025-04-30 18:16:35.088000,6,32
2025-04-30 18:16:35.188000,0,32
2025-04-30 18:16:35.288000,0,32
2025-04-30 18:16:35.388000,9,41
2025-04-30 18:16:35.488000,0,41
2025-04-30 18:16:35.588000,0,41
2025-04-30 18:16:35.688000,0,41
2025-04-30 18:16:35.788000,7,48
2025-04-30 18:16:35.888000,0,48
2025-04-30 18:16:35.988000,0,48
2025-04-30 18:16:36.088000,0,48
2025-04-30 18:16:36.188000,13,61
2025-04-30 18:16:36.288000,0,61
2025-04-30 18:16:36.388000,0,61
2025-04-30 18:16:36.488000,0,61
2025-04-30 18:16:36.588000,0,61
2025-04-30 18:16:36.688000,0,61
2025-04-30 18:16:36.788000,14,75
2025-04-30 18:16:36.888000,0,75
2025-04-30 18:16:36.988000,0,75
2025-04-30 18:16:37.088000,0,75
2025-04-30 18:16:37.188000,0,75
2025-04-30 18:16:37.288000,0,75
2025-04-30 18:16:37.388000,6,81
2025-04-30 18:16:37.488000,0,81
2025-04-30 18:16:37.588000,0,81
2025-04-30 18:16:37.688000,0,81
2025-04-30 18:16:37.788000,14,95
2025-04-30 18:16:37.888000,0,95
2025-04-30 18:16:37.988000,0,95
2025-04-30 18:16:38.088000,14,109
2025-04-30 18:16:38.188000,0,109
2025-04-30 18:16:38.288000,0,109
2025-04-30 18:16:38.388000,0,109
2025-04-30 18:16:38.488000,0,109
2025-04-30 18:16:38.588000,0,109
2025-04-30 18:16:38.688000,0,109
2025-04-30 18:16:38.788000,6,115
2025-04-30 18:16:38.888000,0,115
2025-04-30 18:16:38.988000,0,115
2025-04-30 18:16:39.088000,0,115
2025-04-30 18:16:39.188000,0,115
2025-04-30 18:16:39.288000,0,115
2025-04-30 18:16:39.388000,0,115
2025-04-30 18:16:39.488000,0,115
2025-04-30 18:16:39.588000,11,126
2025-04-30 18:16:39.688000,0,126
2025-04-30 18:16:39.788000,0,126
2025-04-30 18:16:39.888000,0,126
2025-04-30 18:16:39.988000,0,126
2025-04-30 18:16:40.088000,0,126
2025-04-30 18:16:40.188000,5,131
2025-04-30 18:16:40.288000,0,131
2025-04-30 18:16:40.388000,0,131
2025-04-30 18:16:40.488000,0,131
2025-04-30 18:16:40.588000,11,142
2025-04-30 18:16:40.688000,0,142
2025-04-30 18:16:40.788000,0,142
2025-04-30 18:16:40.888000,0,142
2025-04-30 18:16:40.988000,6,148
2025-04-30 18:16:41.088000,0,148
2025-04-30 18:16:41.188000,0,148
2025-04-30 18:16:41.288000,13,161
2025-04-30 18:16:41.388000,0,161
2025-04-30 18:16:41.488000,0,161
2025-04-30 18:16:41.588000,0,161
2025-04-30 18:16:41.688000,0,161
2025-04-30 18:16:41.788000,10,171
2025-04-30 18:16:41.888000,0,171
2025-04-30 18:16:41.988000,0,171
2025-04-30 18:16:42.088000,0,171
2025-04-30 18:16:42.188000,0,171
2025-04-30 18:16:42.288000,0,171
2025-04-30 18:16:42.388000,7,178
2025-04-30 18:16:42.488000,0,178
2025-04-30 18:16:42.588000,0,178
2025-04-30 18:16:42.688000,0,178
2025-04-30 18:16:42.788000,7,185
2025-04-30 18:16:42.888000,0,185
2025-04-30 18:16:42.988000,0,185
2025-04-30 18:16:43.088000,0,185
2025-04-30 18:16:43.188000,0,185
2025-04-30 18:16:43.288000,12,197
2025-04-30 18:16:43.388000,0,197
2025-04-30 18:16:43.488000,0,197
2025-04-30 18:16:43.588000,0,197
2025-04-30 18:16:43.688000,0,197
2025-04-30 18:16:43.788000,0,197
2025-04-30 18:16:43.888000,13,210
2025-04-30 18:16:43.988000,0,210
2025-04-30 18:16:44.088000,0,210
2025-04-30 18:16:44.188000,0,210
2025-04-30 18:16:44.288000,0,210
2025-04-30 18:16:44.388000,0,210
2025-04-30 18:16:44.488000,8,218
2025-04-30 18:16:44.588000,0,218
2025-04-30 18:16:44.688000,0,218
2025-04-30 18:16:44.788000,0,218
2025-04-30 18:16:44.888000,0,218
2025-04-30 18:16:44.988000,11,229
2025-04-30 18:16:45.088000,0,229
2025-04-30 18:16:45.188000,0,229
2025-04-30 18:16:45.288000,0,229
2025-04-30 18:16:45.388000,2,231
2025-04-30 18:16:45.488000,3,234
2025-04-30 18:16:45.588000,0,234
2025-04-30 18:16:45.688000,0,234
2025-04-30 18:16:45.788000,0,234
2025-04-30 18:16:45.888000,0,234
2025-04-30 18:16:45.988000,15,249
2025-04-30 18:16:46.088000,0,249
2025-04-30 18:16:46.188000,0,249
2025-04-30 18:16:46.288000,0,249
2025-04-30 18:16:46.388000,0,249
2025-04-30 18:16:46.488000,0,249
2025-04-30 18:16:46.588000,6,255
2025-04-30 18:16:46.688000,0,255
2025-04-30 18:16:46.788000,0,255
2025-04-30 18:16:46.888000,0,255
2025-04-30 18:16:46.988000,0,255
2025-04-30 18:16:47.088000,0,255
2025-04-30 18:16:47.188000,5,260
2025-04-30 18:16:47.288000,0,260
2025-04-30 18:16:47.388000,0,260
2025-04-30 18:16:47.488000,0,260
2025-04-30 18:16:47.588000,0,260
2025-04-30 18:16:47.688000,0,260
2025-04-30 18:16:47.788000,15,275
2025-04-30 18:16:47.888000,0,275
2025-04-30 18:16:47.988000,0,275
2025-04-30 18:16:48.088000,0,275
2025-04-30 18:16:48.188000,0,275
2025-04-30 18:16:48.288000,0,275
2025-04-30 18:16:48.388000,8,283
2025-04-30 18:16:48.488000,0,283
2025-04-30 18:16:48.588000,0,283
2025-04-30 18:16:48.688000,0,283
2025-04-30 18:16:48.788000,0,283
2025-04-30 18:16:48.888000,11,294
