Time,RRC Connection Request Count (RCRC),Cumulative RCRC
2025-04-30 18:07:35.825000,4,4
2025-04-30 18:07:35.925000,0,4
2025-04-30 18:07:36.025000,0,4
2025-04-30 18:07:36.125000,0,4
2025-04-30 18:07:36.225000,0,4
2025-04-30 18:07:36.325000,0,4
2025-04-30 18:07:36.425000,0,4
2025-04-30 18:07:36.525000,0,4
2025-04-30 18:07:36.625000,0,4
2025-04-30 18:07:36.725000,0,4
2025-04-30 18:07:36.825000,2,6
2025-04-30 18:07:36.925000,0,6
2025-04-30 18:07:37.025000,0,6
2025-04-30 18:07:37.125000,0,6
2025-04-30 18:07:37.225000,0,6
2025-04-30 18:07:37.325000,0,6
2025-04-30 18:07:37.425000,0,6
2025-04-30 18:07:37.525000,0,6
2025-04-30 18:07:37.625000,0,6
2025-04-30 18:07:37.725000,0,6
2025-04-30 18:07:37.825000,0,6
2025-04-30 18:07:37.925000,0,6
2025-04-30 18:07:38.025000,0,6
2025-04-30 18:07:38.125000,0,6
2025-04-30 18:07:38.225000,0,6
2025-04-30 18:07:38.325000,0,6
2025-04-30 18:07:38.425000,0,6
2025-04-30 18:07:38.525000,0,6
2025-04-30 18:07:38.625000,0,6
2025-04-30 18:07:38.725000,0,6
2025-04-30 18:07:38.825000,0,6
2025-04-30 18:07:38.925000,0,6
2025-04-30 18:07:39.025000,0,6
2025-04-30 18:07:39.125000,0,6
2025-04-30 18:07:39.225000,0,6
2025-04-30 18:07:39.325000,0,6
2025-04-30 18:07:39.425000,0,6
2025-04-30 18:07:39.525000,0,6
2025-04-30 18:07:39.625000,0,6
2025-04-30 18:07:39.725000,0,6
2025-04-30 18:07:39.825000,0,6
2025-04-30 18:07:39.925000,0,6
2025-04-30 18:07:40.025000,0,6
2025-04-30 18:07:40.125000,0,6
2025-04-30 18:07:40.225000,0,6
2025-04-30 18:07:40.325000,0,6
2025-04-30 18:07:40.425000,0,6
2025-04-30 18:07:40.525000,0,6
2025-04-30 18:07:40.625000,0,6
2025-04-30 18:07:40.725000,1,7
2025-04-30 18:07:40.825000,0,7
2025-04-30 18:07:40.925000,0,7
2025-04-30 18:07:41.025000,0,7
2025-04-30 18:07:41.125000,0,7
2025-04-30 18:07:41.225000,0,7
2025-04-30 18:07:41.325000,0,7
2025-04-30 18:07:41.425000,0,7
2025-04-30 18:07:41.525000,0,7
2025-04-30 18:07:41.625000,0,7
2025-04-30 18:07:41.725000,0,7
2025-04-30 18:07:41.825000,0,7
2025-04-30 18:07:41.925000,0,7
2025-04-30 18:07:42.025000,0,7
2025-04-30 18:07:42.125000,0,7
2025-04-30 18:07:42.225000,0,7
2025-04-30 18:07:42.325000,0,7
2025-04-30 18:07:42.425000,0,7
2025-04-30 18:07:42.525000,0,7
2025-04-30 18:07:42.625000,0,7
2025-04-30 18:07:42.725000,0,7
2025-04-30 18:07:42.825000,0,7
2025-04-30 18:07:42.925000,0,7
2025-04-30 18:07:43.025000,0,7
2025-04-30 18:07:43.125000,0,7
2025-04-30 18:07:43.225000,0,7
2025-04-30 18:07:43.325000,0,7
2025-04-30 18:07:43.425000,0,7
2025-04-30 18:07:43.525000,0,7
2025-04-30 18:07:43.625000,0,7
2025-04-30 18:07:43.725000,0,7
2025-04-30 18:07:43.825000,0,7
2025-04-30 18:07:43.925000,0,7
2025-04-30 18:07:44.025000,0,7
2025-04-30 18:07:44.125000,0,7
2025-04-30 18:07:44.225000,0,7
2025-04-30 18:07:44.325000,0,7
2025-04-30 18:07:44.425000,0,7
2025-04-30 18:07:44.525000,0,7
2025-04-30 18:07:44.625000,1,8
2025-04-30 18:07:44.725000,0,8
2025-04-30 18:07:44.825000,0,8
2025-04-30 18:07:44.925000,0,8
2025-04-30 18:07:45.025000,0,8
2025-04-30 18:07:45.125000,0,8
2025-04-30 18:07:45.225000,0,8
2025-04-30 18:07:45.325000,0,8
2025-04-30 18:07:45.425000,0,8
2025-04-30 18:07:45.525000,0,8
2025-04-30 18:07:45.625000,0,8
2025-04-30 18:07:45.725000,0,8
2025-04-30 18:07:45.825000,0,8
2025-04-30 18:07:45.925000,0,8
2025-04-30 18:07:46.025000,0,8
2025-04-30 18:07:46.125000,0,8
2025-04-30 18:07:46.225000,0,8
2025-04-30 18:07:46.325000,0,8
2025-04-30 18:07:46.425000,0,8
2025-04-30 18:07:46.525000,0,8
2025-04-30 18:07:46.625000,0,8
2025-04-30 18:07:46.725000,0,8
2025-04-30 18:07:46.825000,0,8
2025-04-30 18:07:46.925000,0,8
2025-04-30 18:07:47.025000,0,8
2025-04-30 18:07:47.125000,0,8
2025-04-30 18:07:47.225000,0,8
2025-04-30 18:07:47.325000,0,8
2025-04-30 18:07:47.425000,0,8
2025-04-30 18:07:47.525000,0,8
2025-04-30 18:07:47.625000,0,8
2025-04-30 18:07:47.725000,0,8
2025-04-30 18:07:47.825000,0,8
2025-04-30 18:07:47.925000,0,8
2025-04-30 18:07:48.025000,0,8
2025-04-30 18:07:48.125000,0,8
2025-04-30 18:07:48.225000,0,8
2025-04-30 18:07:48.325000,0,8
2025-04-30 18:07:48.425000,0,8
2025-04-30 18:07:48.525000,0,8
2025-04-30 18:07:48.625000,0,8
2025-04-30 18:07:48.725000,0,8
2025-04-30 18:07:48.825000,0,8
2025-04-30 18:07:48.925000,0,8
2025-04-30 18:07:49.025000,0,8
2025-04-30 18:07:49.125000,3,11
2025-04-30 18:07:49.225000,0,11
2025-04-30 18:07:49.325000,0,11
2025-04-30 18:07:49.425000,0,11
2025-04-30 18:07:49.525000,0,11
2025-04-30 18:07:49.625000,0,11
2025-04-30 18:07:49.725000,0,11
2025-04-30 18:07:49.825000,0,11
2025-04-30 18:07:49.925000,0,11
2025-04-30 18:07:50.025000,0,11
2025-04-30 18:07:50.125000,1,12
2025-04-30 18:07:50.225000,0,12
2025-04-30 18:07:50.325000,0,12
2025-04-30 18:07:50.425000,0,12
2025-04-30 18:07:50.525000,0,12
2025-04-30 18:07:50.625000,0,12
2025-04-30 18:07:50.725000,0,12
2025-04-30 18:07:50.825000,0,12
2025-04-30 18:07:50.925000,0,12
2025-04-30 18:07:51.025000,0,12
2025-04-30 18:07:51.125000,0,12
2025-04-30 18:07:51.225000,0,12
2025-04-30 18:07:51.325000,0,12
2025-04-30 18:07:51.425000,0,12
2025-04-30 18:07:51.525000,0,12
2025-04-30 18:07:51.625000,0,12
2025-04-30 18:07:51.725000,0,12
2025-04-30 18:07:51.825000,0,12
2025-04-30 18:07:51.925000,0,12
2025-04-30 18:07:52.025000,0,12
2025-04-30 18:07:52.125000,0,12
2025-04-30 18:07:52.225000,0,12
2025-04-30 18:07:52.325000,0,12
2025-04-30 18:07:52.425000,3,15
2025-04-30 18:07:52.525000,0,15
2025-04-30 18:07:52.625000,0,15
2025-04-30 18:07:52.725000,0,15
2025-04-30 18:07:52.825000,0,15
2025-04-30 18:07:52.925000,0,15
2025-04-30 18:07:53.025000,0,15
2025-04-30 18:07:53.125000,0,15
2025-04-30 18:07:53.225000,0,15
2025-04-30 18:07:53.325000,0,15
2025-04-30 18:07:53.425000,1,16
2025-04-30 18:07:53.525000,0,16
2025-04-30 18:07:53.625000,0,16
2025-04-30 18:07:53.725000,0,16
2025-04-30 18:07:53.825000,0,16
2025-04-30 18:07:53.925000,0,16
2025-04-30 18:07:54.025000,0,16
2025-04-30 18:07:54.125000,0,16
2025-04-30 18:07:54.225000,0,16
2025-04-30 18:07:54.325000,0,16
2025-04-30 18:07:54.425000,0,16
2025-04-30 18:07:54.525000,0,16
2025-04-30 18:07:54.625000,0,16
2025-04-30 18:07:54.725000,0,16
2025-04-30 18:07:54.825000,0,16
2025-04-30 18:07:54.925000,0,16
2025-04-30 18:07:55.025000,0,16
2025-04-30 18:07:55.125000,0,16
2025-04-30 18:07:55.225000,0,16
2025-04-30 18:07:55.325000,0,16
2025-04-30 18:07:55.425000,0,16
2025-04-30 18:07:55.525000,0,16
2025-04-30 18:07:55.625000,0,16
2025-04-30 18:07:55.725000,2,18
2025-04-30 18:07:55.825000,0,18
2025-04-30 18:07:55.925000,0,18
2025-04-30 18:07:56.025000,0,18
2025-04-30 18:07:56.125000,0,18
2025-04-30 18:07:56.225000,0,18
