Time,RRC Connection Request Count (RCRC),Cumulative RCRC
2025-05-06 17:02:23.784000,0,3
2025-05-06 17:02:23.785000,0,3
2025-05-06 17:02:23.786000,0,3
2025-05-06 17:02:23.787000,0,3
2025-05-06 17:02:23.788000,0,3
2025-05-06 17:02:23.789000,0,3
2025-05-06 17:02:23.790000,0,3
2025-05-06 17:02:23.791000,0,3
2025-05-06 17:02:23.792000,0,3
2025-05-06 17:02:23.793000,0,3
2025-05-06 17:02:23.794000,0,3
2025-05-06 17:02:23.795000,0,3
2025-05-06 17:02:23.796000,0,3
2025-05-06 17:02:23.797000,0,3
2025-05-06 17:02:23.798000,0,3
2025-05-06 17:02:23.799000,0,3
2025-05-06 17:02:23.800000,0,3
2025-05-06 17:02:23.801000,0,3
2025-05-06 17:02:23.802000,0,3
2025-05-06 17:02:23.803000,0,3
2025-05-06 17:02:23.804000,0,3
2025-05-06 17:02:23.805000,0,3
2025-05-06 17:02:23.806000,0,3
2025-05-06 17:02:23.807000,0,3
2025-05-06 17:02:23.808000,0,3
2025-05-06 17:02:23.809000,0,3
2025-05-06 17:02:23.810000,0,3
2025-05-06 17:02:23.811000,0,3
2025-05-06 17:02:23.812000,0,3
2025-05-06 17:02:23.813000,0,3
2025-05-06 17:02:23.814000,0,3
2025-05-06 17:02:23.815000,0,3
2025-05-06 17:02:23.816000,0,3
2025-05-06 17:02:23.817000,0,3
2025-05-06 17:02:23.818000,0,3
2025-05-06 17:02:23.819000,0,3
2025-05-06 17:02:23.820000,0,3
2025-05-06 17:02:23.821000,0,3
2025-05-06 17:02:23.822000,0,3
2025-05-06 17:02:23.823000,0,3
2025-05-06 17:02:23.824000,0,3
2025-05-06 17:02:23.825000,0,3
2025-05-06 17:02:23.826000,0,3
2025-05-06 17:02:23.827000,0,3
2025-05-06 17:02:23.828000,0,3
2025-05-06 17:02:23.829000,0,3
2025-05-06 17:02:23.830000,0,3
2025-05-06 17:02:23.831000,0,3
2025-05-06 17:02:23.832000,0,3
2025-05-06 17:02:23.833000,0,3
2025-05-06 17:02:23.834000,0,3
2025-05-06 17:02:23.835000,0,3
2025-05-06 17:02:23.836000,0,3
2025-05-06 17:02:23.837000,0,3
2025-05-06 17:02:23.838000,0,3
2025-05-06 17:02:23.839000,0,3
2025-05-06 17:02:23.840000,0,3
2025-05-06 17:02:23.841000,0,3
2025-05-06 17:02:23.842000,0,3
2025-05-06 17:02:23.843000,0,3
2025-05-06 17:02:23.844000,0,3
2025-05-06 17:02:23.845000,0,3
2025-05-06 17:02:23.846000,0,3
2025-05-06 17:02:23.847000,0,3
2025-05-06 17:02:23.848000,0,3
2025-05-06 17:02:23.849000,0,3
2025-05-06 17:02:23.850000,0,3
2025-05-06 17:02:23.851000,0,3
2025-05-06 17:02:23.852000,0,3
2025-05-06 17:02:23.853000,0,3
2025-05-06 17:02:23.854000,0,3
2025-05-06 17:02:23.855000,0,3
2025-05-06 17:02:23.856000,0,3
2025-05-06 17:02:23.857000,0,3
2025-05-06 17:02:23.858000,0,3
2025-05-06 17:02:23.859000,0,3
2025-05-06 17:02:23.860000,0,3
2025-05-06 17:02:23.861000,0,3
2025-05-06 17:02:23.862000,0,3
2025-05-06 17:02:23.863000,0,3
2025-05-06 17:02:23.864000,0,3
2025-05-06 17:02:23.865000,0,3
2025-05-06 17:02:23.866000,0,3
2025-05-06 17:02:23.867000,0,3
2025-05-06 17:02:23.868000,0,3
2025-05-06 17:02:23.869000,0,3
2025-05-06 17:02:23.870000,0,3
2025-05-06 17:02:23.871000,0,3
2025-05-06 17:02:23.872000,0,3
2025-05-06 17:02:23.873000,0,3
2025-05-06 17:02:23.874000,0,3
2025-05-06 17:02:23.875000,0,3
2025-05-06 17:02:23.876000,0,3
2025-05-06 17:02:23.877000,0,3
2025-05-06 17:02:23.878000,0,3
2025-05-06 17:02:23.879000,0,3
2025-05-06 17:02:23.880000,0,3
2025-05-06 17:02:23.881000,0,3
2025-05-06 17:02:23.882000,0,3
2025-05-06 17:02:23.883000,0,3
