Time,RRC Connection Request Count (RCRC),Cumulative RCRC
2025-04-30 18:28:45.032000,81,81
2025-04-30 18:28:45.132000,16,97
2025-04-30 18:28:45.232000,0,97
2025-04-30 18:28:45.332000,0,97
2025-04-30 18:28:45.432000,0,97
2025-04-30 18:28:45.532000,63,160
2025-04-30 18:28:45.632000,17,177
2025-04-30 18:28:45.732000,0,177
2025-04-30 18:28:45.832000,0,177
2025-04-30 18:28:45.932000,21,198
2025-04-30 18:28:46.032000,9,207
2025-04-30 18:28:46.132000,0,207
2025-04-30 18:28:46.232000,0,207
2025-04-30 18:28:46.332000,0,207
2025-04-30 18:28:46.432000,35,242
2025-04-30 18:28:46.532000,16,258
2025-04-30 18:28:46.632000,39,297
2025-04-30 18:28:46.732000,0,297
2025-04-30 18:28:46.832000,21,318
2025-04-30 18:28:46.932000,0,318
2025-04-30 18:28:47.032000,0,318
2025-04-30 18:28:47.132000,0,318
2025-04-30 18:28:47.232000,1,319
2025-04-30 18:28:47.332000,38,357
2025-04-30 18:28:47.432000,0,357
2025-04-30 18:28:47.532000,0,357
2025-04-30 18:28:47.632000,48,405
2025-04-30 18:28:47.732000,0,405
2025-04-30 18:28:47.832000,29,434
2025-04-30 18:28:47.932000,42,476
2025-04-30 18:28:48.032000,0,476
2025-04-30 18:28:48.132000,0,476
2025-04-30 18:28:48.232000,27,503
2025-04-30 18:28:48.332000,74,577
2025-04-30 18:28:48.432000,0,577
2025-04-30 18:28:48.532000,0,577
2025-04-30 18:28:48.632000,0,577
2025-04-30 18:28:48.732000,27,604
2025-04-30 18:28:48.832000,1,605
2025-04-30 18:28:48.932000,0,605
2025-04-30 18:28:49.032000,0,605
2025-04-30 18:28:49.132000,0,605
2025-04-30 18:28:49.232000,1,606
2025-04-30 18:28:49.332000,33,639
2025-04-30 18:28:49.432000,2,641
2025-04-30 18:28:49.532000,13,654
2025-04-30 18:28:49.632000,0,654
2025-04-30 18:28:49.732000,0,654
2025-04-30 18:28:49.832000,1,655
2025-04-30 18:28:49.932000,36,691
2025-04-30 18:28:50.032000,29,720
2025-04-30 18:28:50.132000,0,720
2025-04-30 18:28:50.232000,37,757
2025-04-30 18:28:50.332000,0,757
2025-04-30 18:28:50.432000,38,795
2025-04-30 18:28:50.532000,0,795
2025-04-30 18:28:50.632000,18,813
2025-04-30 18:28:50.732000,0,813
2025-04-30 18:28:50.832000,0,813
2025-04-30 18:28:50.932000,0,813
2025-04-30 18:28:51.032000,0,813
2025-04-30 18:28:51.132000,20,833
2025-04-30 18:28:51.232000,0,833
2025-04-30 18:28:51.332000,0,833
2025-04-30 18:28:51.432000,0,833
2025-04-30 18:28:51.532000,17,850
2025-04-30 18:28:51.632000,47,897
2025-04-30 18:28:51.732000,0,897
2025-04-30 18:28:51.832000,0,897
2025-04-30 18:28:51.932000,44,941
2025-04-30 18:28:52.032000,56,997
2025-04-30 18:28:52.132000,0,997
2025-04-30 18:28:52.232000,0,997
2025-04-30 18:28:52.332000,16,1013
2025-04-30 18:28:52.432000,0,1013
2025-04-30 18:28:52.532000,0,1013
2025-04-30 18:28:52.632000,34,1047
2025-04-30 18:28:52.732000,6,1053
2025-04-30 18:28:52.832000,26,1079
2025-04-30 18:28:52.932000,0,1079
2025-04-30 18:28:53.032000,0,1079
2025-04-30 18:28:53.132000,35,1114
2025-04-30 18:28:53.232000,45,1159
2025-04-30 18:28:53.332000,0,1159
2025-04-30 18:28:53.432000,48,1207
2025-04-30 18:28:53.532000,0,1207
2025-04-30 18:28:53.632000,0,1207
2025-04-30 18:28:53.732000,18,1225
2025-04-30 18:28:53.832000,0,1225
2025-04-30 18:28:53.932000,0,1225
2025-04-30 18:28:54.032000,34,1259
2025-04-30 18:28:54.132000,2,1261
2025-04-30 18:28:54.232000,26,1287
2025-04-30 18:28:54.332000,31,1318
2025-04-30 18:28:54.432000,0,1318
2025-04-30 18:28:54.532000,52,1370
2025-04-30 18:28:54.632000,0,1370
2025-04-30 18:28:54.732000,0,1370
2025-04-30 18:28:54.832000,0,1370
2025-04-30 18:28:54.932000,25,1395
2025-04-30 18:28:55.032000,81,1476
2025-04-30 18:28:55.132000,0,1476
2025-04-30 18:28:55.232000,0,1476
2025-04-30 18:28:55.332000,0,1476
2025-04-30 18:28:55.432000,0,1476
2025-04-30 18:28:55.532000,67,1543
2025-04-30 18:28:55.632000,0,1543
2025-04-30 18:28:55.732000,0,1543
2025-04-30 18:28:55.832000,34,1577
2025-04-30 18:28:55.932000,0,1577
2025-04-30 18:28:56.032000,20,1597
2025-04-30 18:28:56.132000,0,1597
2025-04-30 18:28:56.232000,0,1597
2025-04-30 18:28:56.332000,0,1597
2025-04-30 18:28:56.432000,0,1597
2025-04-30 18:28:56.532000,33,1630
2025-04-30 18:28:56.632000,0,1630
2025-04-30 18:28:56.732000,0,1630
2025-04-30 18:28:56.832000,0,1630
2025-04-30 18:28:56.932000,0,1630
2025-04-30 18:28:57.032000,38,1668
2025-04-30 18:28:57.132000,20,1688
2025-04-30 18:28:57.232000,50,1738
2025-04-30 18:28:57.332000,0,1738
2025-04-30 18:28:57.432000,0,1738
2025-04-30 18:28:57.532000,82,1820
2025-04-30 18:28:57.632000,0,1820
2025-04-30 18:28:57.732000,0,1820
2025-04-30 18:28:57.832000,0,1820
2025-04-30 18:28:57.932000,0,1820
2025-04-30 18:28:58.032000,157,1977
2025-04-30 18:28:58.132000,0,1977
2025-04-30 18:28:58.232000,0,1977
2025-04-30 18:28:58.332000,0,1977
2025-04-30 18:28:58.432000,0,1977
2025-04-30 18:28:58.532000,0,1977
2025-04-30 18:28:58.632000,0,1977
2025-04-30 18:28:58.732000,0,1977
2025-04-30 18:28:58.832000,0,1977
2025-04-30 18:28:58.932000,0,1977
2025-04-30 18:28:59.032000,176,2153
2025-04-30 18:28:59.132000,0,2153
2025-04-30 18:28:59.232000,0,2153
2025-04-30 18:28:59.332000,0,2153
2025-04-30 18:28:59.432000,0,2153
2025-04-30 18:28:59.532000,0,2153
2025-04-30 18:28:59.632000,0,2153
2025-04-30 18:28:59.732000,0,2153
2025-04-30 18:28:59.832000,0,2153
2025-04-30 18:28:59.932000,0,2153
2025-04-30 18:29:00.032000,0,2153
2025-04-30 18:29:00.132000,0,2153
2025-04-30 18:29:00.232000,316,2469
2025-04-30 18:29:00.332000,0,2469
2025-04-30 18:29:00.432000,0,2469
2025-04-30 18:29:00.532000,0,2469
2025-04-30 18:29:00.632000,0,2469
2025-04-30 18:29:00.732000,0,2469
2025-04-30 18:29:00.832000,0,2469
2025-04-30 18:29:00.932000,0,2469
2025-04-30 18:29:01.032000,0,2469
2025-04-30 18:29:01.132000,0,2469
2025-04-30 18:29:01.232000,0,2469
2025-04-30 18:29:01.332000,0,2469
2025-04-30 18:29:01.432000,0,2469
2025-04-30 18:29:01.532000,0,2469
2025-04-30 18:29:01.632000,0,2469
2025-04-30 18:29:01.732000,0,2469
2025-04-30 18:29:01.832000,0,2469
2025-04-30 18:29:01.932000,0,2469
2025-04-30 18:29:02.032000,0,2469
2025-04-30 18:29:02.132000,251,2720
2025-04-30 18:29:02.232000,0,2720
2025-04-30 18:29:02.332000,0,2720
2025-04-30 18:29:02.432000,0,2720
2025-04-30 18:29:02.532000,0,2720
2025-04-30 18:29:02.632000,0,2720
2025-04-30 18:29:02.732000,0,2720
2025-04-30 18:29:02.832000,0,2720
2025-04-30 18:29:02.932000,0,2720
2025-04-30 18:29:03.032000,0,2720
2025-04-30 18:29:03.132000,0,2720
2025-04-30 18:29:03.232000,0,2720
2025-04-30 18:29:03.332000,216,2936
2025-04-30 18:29:03.432000,0,2936
2025-04-30 18:29:03.532000,0,2936
2025-04-30 18:29:03.632000,0,2936
2025-04-30 18:29:03.732000,0,2936
2025-04-30 18:29:03.832000,0,2936
2025-04-30 18:29:03.932000,0,2936
2025-04-30 18:29:04.032000,0,2936
2025-04-30 18:29:04.132000,0,2936
2025-04-30 18:29:04.232000,0,2936
2025-04-30 18:29:04.332000,129,3065
2025-04-30 18:29:04.432000,0,3065
2025-04-30 18:29:04.532000,0,3065
2025-04-30 18:29:04.632000,0,3065
2025-04-30 18:29:04.732000,0,3065
2025-04-30 18:29:04.832000,0,3065
2025-04-30 18:29:04.932000,68,3133
